epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,712.841,0.97015,2.28565,1.04066,1,0.10624,0.66109,0.43255,0.78834,3.30264,0.89233,0.00064,0.00064,0.00064
2,1207.31,0.941,1.33033,0.98928,0.94143,0.49079,0.88287,0.64193,0.87866,2.75275,0.97695,0.00127426,0.00127426,0.00127426
3,1684.26,0.90753,1.19694,0.98506,0.95655,0.84037,0.92167,0.67523,0.95856,1.64795,1.03559,0.00188238,0.00188238,0.00188238
4,2064.75,0.91162,1.04031,0.98535,0.97253,0.9771,0.99325,0.73059,0.92948,1.10058,1.02307,0.0018812,0.0018812,0.0018812
5,2494.44,0.87102,0.89288,0.9693,0.96911,0.95799,0.98879,0.7817,0.81954,0.8916,0.93348,0.0018416,0.0018416,0.0018416
6,2828.34,0.90607,0.86427,0.99358,0.9455,0.98473,0.98648,0.73474,0.90075,0.95954,0.96217,0.001802,0.001802,0.001802
7,3195.49,0.80681,0.76,0.95289,0.97707,0.97569,0.99273,0.80355,0.7069,0.70396,0.92346,0.0017624,0.0017624,0.0017624
8,3614.25,0.81,0.71879,0.96177,0.97231,0.9771,0.99344,0.82154,0.72605,0.69261,0.92956,0.0017228,0.0017228,0.0017228
9,4137.81,0.75663,0.6324,0.94015,1,0.99062,0.995,0.7976,0.76039,0.63529,0.93164,0.0016832,0.0016832,0.0016832
10,4645.6,0.80343,0.6386,0.94964,0.98471,0.98352,0.99303,0.82546,0.67413,0.58481,0.90871,0.0016436,0.0016436,0.0016436
11,5279.1,0.74516,0.5836,0.92493,0.97587,1,0.99447,0.82319,0.70924,0.53803,0.88905,0.001604,0.001604,0.001604
12,5939.14,0.74862,0.56851,0.91893,0.97754,0.9966,0.99297,0.81982,0.69598,0.54276,0.89495,0.0015644,0.0015644,0.0015644
13,6592.04,0.70769,0.54607,0.92029,0.98386,1,0.995,0.83717,0.67782,0.49924,0.88108,0.0015248,0.0015248,0.0015248
14,6900.36,0.71144,0.52442,0.91848,0.99242,0.99944,0.99432,0.80744,0.72067,0.51586,0.908,0.0014852,0.0014852,0.0014852
15,7187.38,0.6957,0.50945,0.90438,0.99703,0.99237,0.995,0.84766,0.63922,0.45984,0.89037,0.0014456,0.0014456,0.0014456
16,7468.32,0.69012,0.48388,0.90527,0.9914,1,0.99485,0.84487,0.68161,0.43874,0.89335,0.001406,0.001406,0.001406
17,7746.37,0.68677,0.48628,0.89794,0.98486,0.99325,0.99492,0.8401,0.66956,0.45049,0.89128,0.0013664,0.0013664,0.0013664
18,8025.16,0.70616,0.46787,0.90651,0.98935,1,0.99492,0.8402,0.68328,0.4473,0.89057,0.0013268,0.0013268,0.0013268
19,8304.31,0.69458,0.46651,0.90548,0.98963,0.99237,0.99485,0.83585,0.66264,0.44361,0.88533,0.0012872,0.0012872,0.0012872
20,8582.38,0.68898,0.4751,0.90842,0.97652,1,0.994,0.83382,0.66274,0.43093,0.88607,0.0012476,0.0012476,0.0012476
21,8858.08,0.69966,0.47111,0.91081,0.97911,1,0.99492,0.84736,0.66828,0.41112,0.8978,0.001208,0.001208,0.001208
22,9132.16,0.65154,0.4368,0.90404,0.98619,0.99237,0.99485,0.86086,0.68322,0.42445,0.88376,0.0011684,0.0011684,0.0011684
23,9408.91,0.67152,0.43897,0.90201,0.99037,1,0.99477,0.87425,0.62547,0.39299,0.87196,0.0011288,0.0011288,0.0011288
24,9687.73,0.64125,0.43219,0.90101,0.99776,1,0.995,0.86199,0.69548,0.39255,0.88524,0.0010892,0.0010892,0.0010892
25,9964.31,0.63348,0.42566,0.8919,0.99156,1,0.995,0.86844,0.61331,0.37113,0.86491,0.0010496,0.0010496,0.0010496
26,10234.5,0.59646,0.40327,0.87594,0.99982,0.99237,0.995,0.86899,0.64901,0.36632,0.86997,0.00101,0.00101,0.00101
27,10505.7,0.6035,0.40988,0.87777,0.98365,1,0.9947,0.86252,0.59481,0.37915,0.85889,0.0009704,0.0009704,0.0009704
